number;EN;ES;ftu8;utf8;tag;unicode;native
1007;family: man, man, girl, boy;Familia: hombre, hombre, niña, niño;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a7><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a8><e2><80><8d><f0><9f><91><a7><e2><80><8d><f0><9f><91><a6>;boy family girl man;U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466;👨 ‍ 👨 ‍ 👧 ‍ 👦
1008;family: man, man, boy, boy;Familia: hombre, hombre, muchacho, muchacho;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a6><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a8><e2><80><8d><f0><9f><91><a6><e2><80><8d><f0><9f><91><a6>;boy family man;U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466;👨 ‍ 👨 ‍ 👦 ‍ 👦
1009;family: man, man, girl, girl;Familia: hombre, hombre, chica, chica;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a7><e2><80><8d><ed><a0><bd><ed><b1><a7>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a8><e2><80><8d><f0><9f><91><a7><e2><80><8d><f0><9f><91><a7>;family girl man;U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467;👨 ‍ 👨 ‍ 👧 ‍ 👧
101;boy: medium-light skin tone;Chico: tono de piel de tono medio;<ed><a0><bd><ed><b1><a6><ed><a0><bc><ed><bf><bc>;<f0><9f><91><a6><f0><9f><8f><bc>;boy medium-light_skin_tone medium-light skin tone young;U+1F466 U+1F3FC;👦 🏼
1010;family: woman, woman, boy;Familia: mujer, mujer, niño;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a9><e2><80><8d><f0><9f><91><a9><e2><80><8d><f0><9f><91><a6>;boy family woman;U+1F469 U+200D U+1F469 U+200D U+1F466;👩 ‍ 👩 ‍ 👦
1011;family: woman, woman, girl;Familia: mujer, mujer, niña;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a7>;<f0><9f><91><a9><e2><80><8d><f0><9f><91><a9><e2><80><8d><f0><9f><91><a7>;family girl woman;U+1F469 U+200D U+1F469 U+200D U+1F467;👩 ‍ 👩 ‍ 👧
1012;family: woman, woman, girl, boy;Familia: mujer, mujer, chica, niño;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a7><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a9><e2><80><8d><f0><9f><91><a9><e2><80><8d><f0><9f><91><a7><e2><80><8d><f0><9f><91><a6>;boy family girl woman;U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466;👩 ‍ 👩 ‍ 👧 ‍ 👦
1013;family: woman, woman, boy, boy;Familia: mujer, mujer, muchacho, muchacho;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a6><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a9><e2><80><8d><f0><9f><91><a9><e2><80><8d><f0><9f><91><a6><e2><80><8d><f0><9f><91><a6>;boy family woman;U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466;👩 ‍ 👩 ‍ 👦 ‍ 👦
1014;family: woman, woman, girl, girl;Familia: mujer, mujer, chica, chica;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a7><e2><80><8d><ed><a0><bd><ed><b1><a7>;<f0><9f><91><a9><e2><80><8d><f0><9f><91><a9><e2><80><8d><f0><9f><91><a7><e2><80><8d><f0><9f><91><a7>;family girl woman;U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467;👩 ‍ 👩 ‍ 👧 ‍ 👧
1015;family: man, boy;Familia: hombre, niño;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a6>;boy family man;U+1F468 U+200D U+1F466;👨 ‍ 👦
1016;family: man, boy, boy;Familia: hombre, muchacho, muchacho;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a6><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a6><e2><80><8d><f0><9f><91><a6>;boy family man;U+1F468 U+200D U+1F466 U+200D U+1F466;👨 ‍ 👦 ‍ 👦
1017;family: man, girl;Familia: hombre, niña;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a7>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a7>;family girl man;U+1F468 U+200D U+1F467;👨 ‍ 👧
1018;family: man, girl, boy;Familia: hombre, niña, niño;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a7><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a7><e2><80><8d><f0><9f><91><a6>;boy family girl man;U+1F468 U+200D U+1F467 U+200D U+1F466;👨 ‍ 👧 ‍ 👦
1019;family: man, girl, girl;Familia: hombre, niña, niña;<ed><a0><bd><ed><b1><a8><e2><80><8d><ed><a0><bd><ed><b1><a7><e2><80><8d><ed><a0><bd><ed><b1><a7>;<f0><9f><91><a8><e2><80><8d><f0><9f><91><a7><e2><80><8d><f0><9f><91><a7>;family girl man;U+1F468 U+200D U+1F467 U+200D U+1F467;👨 ‍ 👧 ‍ 👧
102;boy: medium skin tone;Chico: tono de piel medio;<ed><a0><bd><ed><b1><a6><ed><a0><bc><ed><bf><bd>;<f0><9f><91><a6><f0><9f><8f><bd>;boy medium skin tone young;U+1F466 U+1F3FD;👦 🏽
1020;family: woman, boy;Familia: mujer, niño;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a9><e2><80><8d><f0><9f><91><a6>;boy family woman;U+1F469 U+200D U+1F466;👩 ‍ 👦
1021;family: woman, boy, boy;Familia: mujer, muchacho, muchacho;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a6><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a9><e2><80><8d><f0><9f><91><a6><e2><80><8d><f0><9f><91><a6>;boy family woman;U+1F469 U+200D U+1F466 U+200D U+1F466;👩 ‍ 👦 ‍ 👦
1022;family: woman, girl;Familia: mujer, niña;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a7>;<f0><9f><91><a9><e2><80><8d><f0><9f><91><a7>;family girl woman;U+1F469 U+200D U+1F467;👩 ‍ 👧
1023;family: woman, girl, boy;Familia: mujer, niña, niño;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a7><e2><80><8d><ed><a0><bd><ed><b1><a6>;<f0><9f><91><a9><e2><80><8d><f0><9f><91><a7><e2><80><8d><f0><9f><91><a6>;boy family girl woman;U+1F469 U+200D U+1F467 U+200D U+1F466;👩 ‍ 👧 ‍ 👦
1024;family: woman, girl, girl;Familia: mujer, chica, chica;<ed><a0><bd><ed><b1><a9><e2><80><8d><ed><a0><bd><ed><b1><a7><e2><80><8d><ed><a0><bd><ed><b1><a7>;<f0><9f><91><a9><e2><80><8d><f0><9f><91><a7><e2><80><8d><f0><9f><91><a7>;family girl woman;U+1F469 U+200D U+1F467 U+200D U+1F467;👩 ‍ 👧 ‍ 👧
1025;light skin tone;Tono de piel claro;<ed><a0><bc><ed><bf><bb>;<f0><9f><8f><bb>;skin tone type_1â€“2 type 1â€“2;U+1F3FB;🏻
1026;medium-light skin tone;Tono de piel medio-claro;<ed><a0><bc><ed><bf><bc>;<f0><9f><8f><bc>;skin tone type 3;U+1F3FC;🏼
1027;medium skin tone;Tono de piel medio;<ed><a0><bc><ed><bf><bd>;<f0><9f><8f><bd>;skin tone type 4;U+1F3FD;🏽
1028;medium-dark skin tone;Tono de piel medio oscuro;<ed><a0><bc><ed><bf><be>;<f0><9f><8f><be>;skin tone type 5;U+1F3FE;🏾
1029;dark skin tone;Tono de piel oscuro;<ed><a0><bc><ed><bf><bf>;<f0><9f><8f><bf>;skin tone type 6;U+1F3FF;🏿
103;boy: medium-dark skin tone;Chico: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><a6><ed><a0><bc><ed><bf><be>;<f0><9f><91><a6><f0><9f><8f><be>;boy medium-dark_skin_tone medium-dark skin tone young;U+1F466 U+1F3FE;👦 🏾
1030;flexed biceps;Bíceps flexionado;<ed><a0><bd><ed><b2><aa>;<f0><9f><92><aa>;biceps comic flex muscle;U+1F4AA;💪
1031;flexed biceps: light skin tone;Bíceps flexionados: tono de piel claro;<ed><a0><bd><ed><b2><aa><ed><a0><bc><ed><bf><bb>;<f0><9f><92><aa><f0><9f><8f><bb>;biceps comic flex light skin tone muscle;U+1F4AA U+1F3FB;💪 🏻
1032;flexed biceps: medium-light skin tone;Bíceps flexionados: tono de piel de tono medio;<ed><a0><bd><ed><b2><aa><ed><a0><bc><ed><bf><bc>;<f0><9f><92><aa><f0><9f><8f><bc>;biceps comic flex medium-light_skin_tone medium-light skin tone muscle;U+1F4AA U+1F3FC;💪 🏼
1033;flexed biceps: medium skin tone;Bíceps flexionados: tono de piel medio;<ed><a0><bd><ed><b2><aa><ed><a0><bc><ed><bf><bd>;<f0><9f><92><aa><f0><9f><8f><bd>;biceps comic flex medium skin tone muscle;U+1F4AA U+1F3FD;💪 🏽
1034;flexed biceps: medium-dark skin tone;Bíceps flexionados: tono de piel medio-oscuro;<ed><a0><bd><ed><b2><aa><ed><a0><bc><ed><bf><be>;<f0><9f><92><aa><f0><9f><8f><be>;biceps comic flex medium-dark_skin_tone medium-dark skin tone muscle;U+1F4AA U+1F3FE;💪 🏾
1035;flexed biceps: dark skin tone;Bíceps flexionado: tono de piel oscuro;<ed><a0><bd><ed><b2><aa><ed><a0><bc><ed><bf><bf>;<f0><9f><92><aa><f0><9f><8f><bf>;biceps comic dark skin tone flex muscle;U+1F4AA U+1F3FF;💪 🏿
1036;selfie;Yo mismo;<ed><a0><be><ed><b4><b3>;<f0><9f><a4><b3>;camera phone selfie;U+1F933;🤳
1037;selfie: light skin tone;Selfie: tono de piel claro;<ed><a0><be><ed><b4><b3><ed><a0><bc><ed><bf><bb>;<f0><9f><a4><b3><f0><9f><8f><bb>;camera light skin tone phone selfie;U+1F933 U+1F3FB;🤳 🏻
1038;selfie: medium-light skin tone;Selfie: tono de piel de tono medio;<ed><a0><be><ed><b4><b3><ed><a0><bc><ed><bf><bc>;<f0><9f><a4><b3><f0><9f><8f><bc>;camera medium-light_skin_tone medium-light skin tone phone selfie;U+1F933 U+1F3FC;🤳 🏼
1039;selfie: medium skin tone;Selfie: tono de piel medio;<ed><a0><be><ed><b4><b3><ed><a0><bc><ed><bf><bd>;<f0><9f><a4><b3><f0><9f><8f><bd>;camera medium skin tone phone selfie;U+1F933 U+1F3FD;🤳 🏽
104;boy: dark skin tone;Chico: tono de piel oscuro;<ed><a0><bd><ed><b1><a6><ed><a0><bc><ed><bf><bf>;<f0><9f><91><a6><f0><9f><8f><bf>;boy dark skin tone young;U+1F466 U+1F3FF;👦 🏿
1040;selfie: medium-dark skin tone;Selfie: tono de piel medio-oscuro;<ed><a0><be><ed><b4><b3><ed><a0><bc><ed><bf><be>;<f0><9f><a4><b3><f0><9f><8f><be>;camera medium-dark_skin_tone medium-dark skin tone phone selfie;U+1F933 U+1F3FE;🤳 🏾
1041;selfie: dark skin tone;Selfie: tono de piel oscuro;<ed><a0><be><ed><b4><b3><ed><a0><bc><ed><bf><bf>;<f0><9f><a4><b3><f0><9f><8f><bf>;camera dark skin tone phone selfie;U+1F933 U+1F3FF;🤳 🏿
1042;backhand index pointing left;Índice de revés apuntando a la izquierda;<ed><a0><bd><ed><b1><88>;<f0><9f><91><88>;backhand finger hand index point;U+1F448;👈
1043;backhand index pointing left: light skin tone;Índice de revés apuntando a la izquierda: tono de piel claro;<ed><a0><bd><ed><b1><88><ed><a0><bc><ed><bf><bb>;<f0><9f><91><88><f0><9f><8f><bb>;backhand finger hand index light skin tone point;U+1F448 U+1F3FB;👈 🏻
1044;backhand index pointing left: medium-light skin tone;Índice de revés apuntando a la izquierda: tono de piel medio claro;<ed><a0><bd><ed><b1><88><ed><a0><bc><ed><bf><bc>;<f0><9f><91><88><f0><9f><8f><bc>;backhand finger hand index medium-light_skin_tone medium-light skin tone point;U+1F448 U+1F3FC;👈 🏼
1045;backhand index pointing left: medium skin tone;Índice de revés apuntando a la izquierda: tono de piel medio;<ed><a0><bd><ed><b1><88><ed><a0><bc><ed><bf><bd>;<f0><9f><91><88><f0><9f><8f><bd>;backhand finger hand index medium skin tone point;U+1F448 U+1F3FD;👈 🏽
1046;backhand index pointing left: medium-dark skin tone;Índice de revés apuntando a la izquierda: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><88><ed><a0><bc><ed><bf><be>;<f0><9f><91><88><f0><9f><8f><be>;backhand finger hand index medium-dark_skin_tone medium-dark skin tone point;U+1F448 U+1F3FE;👈 🏾
1047;backhand index pointing left: dark skin tone;Índice de revés apuntando a la izquierda: tono de piel oscuro;<ed><a0><bd><ed><b1><88><ed><a0><bc><ed><bf><bf>;<f0><9f><91><88><f0><9f><8f><bf>;backhand dark skin tone finger hand index point;U+1F448 U+1F3FF;👈 🏿
1048;backhand index pointing right;Índice de revés apuntando a la derecha;<ed><a0><bd><ed><b1><89>;<f0><9f><91><89>;backhand finger hand index point;U+1F449;👉
1049;backhand index pointing right: light skin tone;Índice de revés apuntando a la derecha: tono de piel claro;<ed><a0><bd><ed><b1><89><ed><a0><bc><ed><bf><bb>;<f0><9f><91><89><f0><9f><8f><bb>;backhand finger hand index light skin tone point;U+1F449 U+1F3FB;👉 🏻
105;girl;niña;<ed><a0><bd><ed><b1><a7>;<f0><9f><91><a7>;Virgo young zodiac;U+1F467;👧
1050;backhand index pointing right: medium-light skin tone;Índice de revés apuntando a la derecha: tono de piel medio claro;<ed><a0><bd><ed><b1><89><ed><a0><bc><ed><bf><bc>;<f0><9f><91><89><f0><9f><8f><bc>;backhand finger hand index medium-light_skin_tone medium-light skin tone point;U+1F449 U+1F3FC;👉 🏼
1051;backhand index pointing right: medium skin tone;Índice de revés apuntando a la derecha: tono de piel medio;<ed><a0><bd><ed><b1><89><ed><a0><bc><ed><bf><bd>;<f0><9f><91><89><f0><9f><8f><bd>;backhand finger hand index medium skin tone point;U+1F449 U+1F3FD;👉 🏽
1052;backhand index pointing right: medium-dark skin tone;Índice de reverso apuntando a la derecha: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><89><ed><a0><bc><ed><bf><be>;<f0><9f><91><89><f0><9f><8f><be>;backhand finger hand index medium-dark_skin_tone medium-dark skin tone point;U+1F449 U+1F3FE;👉 🏾
1053;backhand index pointing right: dark skin tone;Índice de revés apuntando a la derecha: tono de piel oscuro;<ed><a0><bd><ed><b1><89><ed><a0><bc><ed><bf><bf>;<f0><9f><91><89><f0><9f><8f><bf>;backhand dark skin tone finger hand index point;U+1F449 U+1F3FF;👉 🏿
1054;index pointing up;Índice apuntando hacia arriba;<e2><98><9d>;<e2><98><9d>;finger hand index point up;U+261D;☝
1055;index pointing up: light skin tone;Índice hacia arriba: tono de piel claro;<e2><98><9d><ed><a0><bc><ed><bf><bb>;<e2><98><9d><f0><9f><8f><bb>;finger hand index light skin tone point up;U+261D U+1F3FB;☝ 🏻
1056;index pointing up: medium-light skin tone;Índice apuntando hacia arriba: tono de piel de tono medio;<e2><98><9d><ed><a0><bc><ed><bf><bc>;<e2><98><9d><f0><9f><8f><bc>;finger hand index medium-light_skin_tone medium-light skin tone point up;U+261D U+1F3FC;☝ 🏼
1057;index pointing up: medium skin tone;Índice hacia arriba: tono de piel medio;<e2><98><9d><ed><a0><bc><ed><bf><bd>;<e2><98><9d><f0><9f><8f><bd>;finger hand index medium skin tone point up;U+261D U+1F3FD;☝ 🏽
1058;index pointing up: medium-dark skin tone;Índice hacia arriba: tono de piel medio-oscuro;<e2><98><9d><ed><a0><bc><ed><bf><be>;<e2><98><9d><f0><9f><8f><be>;finger hand index medium-dark_skin_tone medium-dark skin tone point up;U+261D U+1F3FE;☝ 🏾
1059;index pointing up: dark skin tone;Índice hacia arriba: tono de piel oscuro;<e2><98><9d><ed><a0><bc><ed><bf><bf>;<e2><98><9d><f0><9f><8f><bf>;dark skin tone finger hand index point up;U+261D U+1F3FF;☝ 🏿
106;girl: light skin tone;Chica: tono de piel claro;<ed><a0><bd><ed><b1><a7><ed><a0><bc><ed><bf><bb>;<f0><9f><91><a7><f0><9f><8f><bb>;light skin tone Virgo young zodiac;U+1F467 U+1F3FB;👧 🏻
1060;backhand index pointing up;Índice de revés apuntando hacia arriba;<ed><a0><bd><ed><b1><86>;<f0><9f><91><86>;backhand finger hand index point up;U+1F446;👆
1061;backhand index pointing up: light skin tone;Índice de revés apuntando hacia arriba: tono de piel claro;<ed><a0><bd><ed><b1><86><ed><a0><bc><ed><bf><bb>;<f0><9f><91><86><f0><9f><8f><bb>;backhand finger hand index light skin tone point up;U+1F446 U+1F3FB;👆 🏻
1062;backhand index pointing up: medium-light skin tone;Índice de revés hacia arriba: tono de piel de tono medio;<ed><a0><bd><ed><b1><86><ed><a0><bc><ed><bf><bc>;<f0><9f><91><86><f0><9f><8f><bc>;backhand finger hand index medium-light_skin_tone medium-light skin tone point up;U+1F446 U+1F3FC;👆 🏼
1063;backhand index pointing up: medium skin tone;Índice de revés hacia arriba: tono de piel medio;<ed><a0><bd><ed><b1><86><ed><a0><bc><ed><bf><bd>;<f0><9f><91><86><f0><9f><8f><bd>;backhand finger hand index medium skin tone point up;U+1F446 U+1F3FD;👆 🏽
1064;backhand index pointing up: medium-dark skin tone;Índice de revés hacia arriba: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><86><ed><a0><bc><ed><bf><be>;<f0><9f><91><86><f0><9f><8f><be>;backhand finger hand index medium-dark_skin_tone medium-dark skin tone point up;U+1F446 U+1F3FE;👆 🏾
1065;backhand index pointing up: dark skin tone;Índice de revés hacia arriba: tono de piel oscuro;<ed><a0><bd><ed><b1><86><ed><a0><bc><ed><bf><bf>;<f0><9f><91><86><f0><9f><8f><bf>;backhand dark skin tone finger hand index point up;U+1F446 U+1F3FF;👆 🏿
1066;middle finger;dedo medio;<ed><a0><bd><ed><b6><95>;<f0><9f><96><95>;finger hand;U+1F595;🖕
1067;middle finger: light skin tone;Dedo medio: tono de piel claro;<ed><a0><bd><ed><b6><95><ed><a0><bc><ed><bf><bb>;<f0><9f><96><95><f0><9f><8f><bb>;finger hand light skin tone;U+1F595 U+1F3FB;🖕 🏻
1068;middle finger: medium-light skin tone;Dedo medio: tono de piel medio claro;<ed><a0><bd><ed><b6><95><ed><a0><bc><ed><bf><bc>;<f0><9f><96><95><f0><9f><8f><bc>;finger hand medium-light_skin_tone medium-light skin tone;U+1F595 U+1F3FC;🖕 🏼
1069;middle finger: medium skin tone;Dedo medio: tono de piel medio;<ed><a0><bd><ed><b6><95><ed><a0><bc><ed><bf><bd>;<f0><9f><96><95><f0><9f><8f><bd>;finger hand medium skin tone;U+1F595 U+1F3FD;🖕 🏽
107;girl: medium-light skin tone;Chica: tono de piel medio-claro;<ed><a0><bd><ed><b1><a7><ed><a0><bc><ed><bf><bc>;<f0><9f><91><a7><f0><9f><8f><bc>;medium-light_skin_tone medium-light skin tone Virgo young zodiac;U+1F467 U+1F3FC;👧 🏼
1070;middle finger: medium-dark skin tone;Dedo medio: tono de piel medio-oscuro;<ed><a0><bd><ed><b6><95><ed><a0><bc><ed><bf><be>;<f0><9f><96><95><f0><9f><8f><be>;finger hand medium-dark_skin_tone medium-dark skin tone;U+1F595 U+1F3FE;🖕 🏾
1071;middle finger: dark skin tone;Dedo medio: tono de piel oscuro;<ed><a0><bd><ed><b6><95><ed><a0><bc><ed><bf><bf>;<f0><9f><96><95><f0><9f><8f><bf>;dark skin tone finger hand;U+1F595 U+1F3FF;🖕 🏿
1072;backhand index pointing down;Índice de revés apuntando hacia abajo;<ed><a0><bd><ed><b1><87>;<f0><9f><91><87>;backhand down finger hand index point;U+1F447;👇
1073;backhand index pointing down: light skin tone;Índice de revés apuntando hacia abajo: tono de piel claro;<ed><a0><bd><ed><b1><87><ed><a0><bc><ed><bf><bb>;<f0><9f><91><87><f0><9f><8f><bb>;backhand down finger hand index light skin tone point;U+1F447 U+1F3FB;👇 🏻
1074;backhand index pointing down: medium-light skin tone;Índice de revés apuntando hacia abajo: tono de piel medio-claro;<ed><a0><bd><ed><b1><87><ed><a0><bc><ed><bf><bc>;<f0><9f><91><87><f0><9f><8f><bc>;backhand down finger hand index medium-light_skin_tone medium-light skin tone point;U+1F447 U+1F3FC;👇 🏼
1075;backhand index pointing down: medium skin tone;Índice de revés apuntando hacia abajo: tono de piel medio;<ed><a0><bd><ed><b1><87><ed><a0><bc><ed><bf><bd>;<f0><9f><91><87><f0><9f><8f><bd>;backhand down finger hand index medium skin tone point;U+1F447 U+1F3FD;👇 🏽
1076;backhand index pointing down: medium-dark skin tone;Índice de revés apuntando hacia abajo: tono de piel medio-oscuro;<ed><a0><bd><ed><b1><87><ed><a0><bc><ed><bf><be>;<f0><9f><91><87><f0><9f><8f><be>;backhand down finger hand index medium-dark_skin_tone medium-dark skin tone point;U+1F447 U+1F3FE;👇 🏾
1077;backhand index pointing down: dark skin tone;Índice de revés apuntando hacia abajo: tono de piel oscuro;<ed><a0><bd><ed><b1><87><ed><a0><bc><ed><bf><bf>;<f0><9f><91><87><f0><9f><8f><bf>;backhand dark skin tone down finger hand index point;U+1F447 U+1F3FF;👇 🏿
1078;victory hand;Mano de victoria;<e2><9c><8c>;<e2><9c><8c>;hand v victory;U+270C;✌
1079;victory hand: light skin tone;Mano de victoria: tono de piel claro;<e2><9c><8c><ed><a0><bc><ed><bf><bb>;<e2><9c><8c><f0><9f><8f><bb>;hand light skin tone v victory;U+270C U+1F3FB;✌ 🏻
108;girl: medium skin tone;Chica: tono de piel medio;<ed><a0><bd><ed><b1><a7><ed><a0><bc><ed><bf><bd>;<f0><9f><91><a7><f0><9f><8f><bd>;medium skin tone Virgo young zodiac;U+1F467 U+1F3FD;👧 🏽
1080;victory hand: medium-light skin tone;Mano de la victoria: tono medio de la piel;<e2><9c><8c><ed><a0><bc><ed><bf><bc>;<e2><9c><8c><f0><9f><8f><bc>;hand medium-light_skin_tone medium-light skin tone v victory;U+270C U+1F3FC;✌ 🏼
1081;victory hand: medium skin tone;Mano de la victoria: tono de piel medio;<e2><9c><8c><ed><a0><bc><ed><bf><bd>;<e2><9c><8c><f0><9f><8f><bd>;hand medium skin tone v victory;U+270C U+1F3FD;✌ 🏽
1082;victory hand: medium-dark skin tone;Mano de la victoria: tono de piel medio-oscuro;<e2><9c><8c><ed><a0><bc><ed><bf><be>;<e2><9c><8c><f0><9f><8f><be>;hand medium-dark_skin_tone medium-dark skin tone v victory;U+270C U+1F3FE;✌ 🏾
1083;victory hand: dark skin tone;Mano de la victoria: tono de piel oscuro;<e2><9c><8c><ed><a0><bc><ed><bf><bf>;<e2><9c><8c><f0><9f><8f><bf>;dark skin tone hand v victory;U+270C U+1F3FF;✌ 🏿
